Day,Time In,Time Out,Location,Reason,User,reason_nlp_label,time_spent
2/4/19,11:00,15:55,Faraday Hall,Work,1,label_work,4.92
2/4/19,16:00,16:25,Founders Memorial Library,coffee,1,label_food,0.42
2/4/19,16:30,16:45,Faraday Hall,grab laptop,1,,0.25
2/4/19,16:50,18:20,Computer Science Building,class,1,label_class,1.5
2/4/19,18:25,18:30,Faraday Hall,grab backpack,1,label_food,0.08
2/6/19,11:30,15:25,Faraday Hall,Work,1,label_work,3.92
2/6/19,15:30,15:55,Founders Memorial Library,coffee,1,label_food,0.42
2/6/19,16:00,16:45,Faraday Hall,Work,1,label_work,0.75
2/6/19,16:50,18:20,Computer Science Building,class,1,label_class,1.5
2/6/19,18:25,18:30,Faraday Hall,grab backpack,1,label_food,0.08
2/8/19,13:30,17:00,Faraday Hall,work,1,label_work,3.5
2/4/19,15:36,18:26,Computer Science Building,CSCI 627,2,,2.83
2/5/19,10:36,12:20,Computer Science Building,CSCI 503,2,,1.73
2/5/19,14:51,16:26,Computer Science Building,Meet with CSCI 503 TA,2,,1.58
2/5/19,16:33,16:43,Reavis Hall,Meet with a friend,2,label_food,0.17
2/6/19,15:28,15:53,Adams Hall,Consultation,2,label_class,0.42
2/6/19,16:00,18:22,Computer Science Building,CSCI 627,2,,2.37
2/7/19,10:37,12:09,Computer Science Building,CSCI 503,2,,1.53
2/8/19,15:19,17:02,Founders Memorial Library,Self study,2,label_work,1.72
2/9/19,14:09,16:23,Founders Memorial Library,Self study,2,label_work,2.23
2/9/19,16:52,18:28,Student Recreation Center,Playing Basketball,2,,1.6
2/3/19,14:00,16:00,Founders Memorial Library,Studying Algorithms,3,,2
2/3/19,16:00,17:00,Student Recreation Center,Gym,3,label_food,1
2/4/19,17:00,18:15,Computer Science Building,CSCI627 Class,3,,1.25
2/5/19,14:00,15:15,Computer Science Building,CSCI602 Class,3,,1.25
2/5/19,16:00,17:00,Student Recreation Center,Gym,3,label_food,1
2/6/19,17:00,18:15,Computer Science Building,CSCI627 Class,3,,1.25
2/6/19,18:30,19:30,Student Recreation Center,Gym,3,label_food,1
2/7/19,14:00,15:15,Computer Science Building,CSCI602 Class,3,,1.25
2/7/19,15:30,16:30,Student Recreation Center,Gym,3,label_food,1
2/8/19,10:00,10:30,Williston Hall,ISFO,3,,0.5
2/9/19,11:00,12:20,Founders Memorial Library,Project Work,3,label_work,1.33
2/4/19,16:45,18:24,Computer Science Building,Data visualization course,4,label_class,1.65
2/5/19,11:03,12:22,Computer Science Building,Python course,4,label_work,1.32
2/5/19,13:50,15:20,Computer Science Building,Algorithm course,4,label_work,1.5
2/5/19,15:45,17:30,Student Recreation Center,work out,4,,1.75
2/6/19,13:45,16:47,Founders Memorial Library,studying,4,,3.03
2/6/19,16:47,18:20,Computer Science Building,Data visualization course,4,label_class,1.55
2/7/19,10:55,12:20,Computer Science Building,Python course,4,label_work,1.42
2/7/19,13:50,15:20,Computer Science Building,Algorithm course,4,label_work,1.5
2/3/19,17:00,19:00,Student Recreation Center,Gym and Volleyball,5,label_work,2
2/4/19,16:52,18:21,Computer Science Building,Data Visualization,5,label_class,1.48
2/5/19,10:50,12:20,Computer Science Building,Python,5,label_food,1.5
2/5/19,1:55,3:30,Computer Science Building,Information Storage and Retrieval,5,label_work,1.58
2/6/19,16:52,18:21,Computer Science Building,Data Visualization,5,label_class,1.48
2/7/19,10:52,12:45,Computer Science Building,Python,5,label_food,1.88
2/7/19,13:45,15:25,Computer Science Building,Information Storage and Retrieval,5,label_work,1.67
2/7/19,17:10,19:17,Student Recreation Center,Gym and Volleyball,5,label_work,2.12
2/8/19,17:20,18:14,Holmes Student Center,ISA Meeting,5,,0.9
2/9/19,11:33,15:10,Founders Memorial Library,Study,5,label_work,3.62
2/9/19,16:40,18:22,Student Recreation Center,Gym and Volleyball,5,label_work,1.7
2/3/19,14:30,18:30,Founders Memorial Library,Applied to jobs and Explored Front End Technologies,6,,4
2/3/19,19:30,21:30,Student Recreation Center,Table Tennis and Lawn Tennis,6,,2
2/4/19,13:00,16:50,Founders Memorial Library,"Data visualization Assignment, Readings",6,label_class,3.83
2/4/19,17:00,18:15,Computer Science Building,Data visualization Lecture,6,label_class,1.25
2/4/19,20:16,22:00,Student Recreation Center,Badminton,6,label_work,1.73
2/5/19,11:30,16:30,Founders Memorial Library,"Applied to jobs, studied ASP.Net and borrowed a book",6,,5
2/5/19,19:10,21:30,Student Recreation Center,Badminton,6,label_work,2.33
2/6/19,11:25,11:40,Williston Hall,Picked up the Underload Form at ISFO,6,,0.25
2/6/19,11:48,12:03,Computer Science Building,Filled and submitted the underload form in the CS dept,6,,0.25
2/6/19,17:00,18:15,Computer Science Building,Data Visualization Lecture,6,label_class,1.25
2/6/19,13:36,16:50,Founders Memorial Library,"Applied to jobs, studied  HTML5 and explored some of the best web applications built. ",6,,3.23
2/6/19,19:05,21:40,Student Recreation Center,Lawn Tennis and Badminton,6,label_work,2.58
2/7/19,20:06,22:05,Student Recreation Center,Badminton and Table Tennis,6,label_class,1.98
2/8/19,11:36,11:42,Computer Science Building,Picked up the Underload Form from the CS dept,6,,0.1
2/8/19,11:51,12:02,Williston Hall,Submitted the underload Form at ISFO,6,,0.18
2/8/19,18:45,20:02,Student Recreation Center,Badminton,6,label_work,1.28
2/9/19,17:07,19:05,Student Recreation Center,Badminton,6,label_work,1.97
2/3/19,12:30,14:00,Writz Hall,Chinese New Year Active,7,,1.5
2/3/19,17:00,18:28,Student Recreation Center,Fitness,7,label_class,1.47
2/4/19,16:45,18:15,Computer Science Building,Data Visualization Class,7,label_class,1.5
2/5/19,10:45,12:20,Computer Science Building,Python Class,7,label_class,1.58
2/5/19,13:45,15:20,Computer Science Building,Algorithm Class,7,label_class,1.58
2/5/19,16:00,17:36,Student Recreation Center,Fitness,7,label_class,1.6
2/6/19,9:15,10:00,Student Recreation Center,Fitness,7,label_class,0.75
2/6/19,13:45,16:40,Founders Memorial Library,homework,7,label_work,2.92
2/6/19,16:50,18:15,Computer Science Building,Data Visualization Class,7,label_class,1.42
2/7/19,10:45,12:20,Computer Science Building,Python Class,7,label_class,1.58
2/7/19,12:30,15:25,Computer Science Building,Algorithm Class,7,label_class,2.92
2/7/19,17:30,18:15,Student Recreation Center,Fitness,7,label_class,0.75
2/7/19,19:15,20:05,Engineering Building,Robotic Club,7,,0.83
2/8/19,16:15,21:15,Campus Life Building,Chinese New Year Active,7,,5
2/9/19,13:11,15:10,Student Recreation Center,Fitness,7,label_class,1.98
2/4/19,16:45,18:20,Computer Science Building,CSCI 627,8,,1.58
2/4/19,18:30,18:40,Gabel Hall,Meet with an RA,8,label_food,0.17
2/5/19,10:45,12:20,Computer Science Building,CSCI 503,8,,1.58
2/5/19,12:35,13:45,Gilbert Hall,Lunch,8,label_food,1.17
2/5/19,13:55,15:20,Computer Science Building,CSCI 642,8,,1.42
2/6/19,15:20,16:30,Founders Memorial Library,Founders Memorial Library,8,label_class,1.17
2/6/19,16:45,18:20,Computer Science Building,CSCI 627,8,,1.58
2/7/19,10:45,12:20,Computer Science Building,CSCI 503,8,,1.58
2/7/19,13:50,15:20,Computer Science Building,CSCI 642,8,,1.5
2/8/19,12:15,12:35,Faraday Hall,Meet with TA for CSCI 503,8,,0.33
2/8/19,13:30,13:40,Faraday Hall,Meet with TA for CSCI 322,8,,0.17
2/4/19,10:00,11:25,Cole Hall,Android Programming Class,9,label_class,1.42
2/4/19,11:30,12:20,Health Services,Medicine Re-Fill,9,,0.83
2/4/19,13:00,16:30,Gabel Hall,RA Office Hours,9,label_leisure,3.5
2/4/19,16:45,18:20,Computer Science Building,Data Visualization Class,9,label_class,1.58
2/5/19,11:00,12:20,Computer Science Building,Computer Science Building,9,label_food,1.33
2/5/19,12:40,13:15,McDonalds,Lunch,9,label_food,0.58
2/5/19,13:35,18:40,Gabel Hall,RA Office Hours,9,label_leisure,5.08
2/6/19,10:10,11:20,Cole Hall,Android Programming Class,9,label_class,1.17
2/6/19,11:45,12:15,Chipotle,Lunch,9,label_food,0.5
2/6/19,12:20,16:30,Gabel Hall,RA Office Hours,9,label_leisure,4.17
2/6/19,16:45,18:20,Computer Science Building,Data Visualization Class,9,label_class,1.58
2/7/19,11:00,12:20,Computer Science Building,Computer Science Building,9,label_food,1.33
2/7/19,12:40,13:10,Chipotle,Lunch,9,label_food,0.5
2/7/19,13:15,19:00,Gabel Hall,RA Office Hours,9,label_leisure,5.75
2/8/19,16:00,17:00,Student Recreation Center,Work-Out,9,,1
2/4/19,8:50,14:00,Faraday Hall,TA Hours,10,label_leisure,5.17
2/4/19,16:50,18:30,Computer Science Building,CSCI 627,10,,1.67
2/5/19,9:45,10:15,Founders Memorial Library,Printouts,10,label_class,0.5
2/5/19,10:30,15:20,Computer Science Building,CSCI 503 & CSCI 602,10,,4.83
2/6/19,8:50,11:30,Faraday Hall,TA Hours,10,label_leisure,2.67
2/6/19,16:50,18:30,Computer Science Building,CSCI 627,10,,1.67
2/7/19,10:45,15:15,Computer Science Building,CSCI 503 & CSCI 602,10,,4.5
2/4/19,8:52,9:56,Computer Science Building,CSCI 502,11,,1.07
2/4/19,10:00,10:15,Founders Memorial Library,Technology Support Desk,11,label_work,0.25
2/4/19,16:51,18:19,Computer Science Building,CSCI 627,11,,1.47
2/5/19,10:58,12:20,Computer Science Building,CSCI 512,11,,1.37
2/5/19,12:30,13:20,Founders Memorial Library,Technology Support Desk,11,label_work,0.83
2/5/19,13:25,14:10,Health Services,Immunization,11,label_work,0.75
